Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,8.510000,9.200000,8.390000,9.180000,9.162564,9820550
2023-03-06,9.260000,9.700000,8.860000,9.460000,9.442032,14625000
2023-03-07,9.460000,9.480000,8.880000,8.920000,8.903058,5212200
2023-03-08,8.880000,9.230000,8.830000,8.870000,8.853152,3030000
2023-03-09,8.870000,9.200000,8.830000,9.190000,9.172544,2448000
2023-03-10,9.000000,9.190000,8.740000,8.880000,8.863133,3062000
2023-03-13,8.880000,9.120000,8.880000,9.120000,9.102677,2180000
2023-03-14,9.190000,9.450000,9.130000,9.420000,9.402108,5544400
2023-03-15,9.490000,10.000000,9.370000,10.000000,9.981007,6727150
2023-03-16,9.810000,10.380000,9.720000,10.300000,10.280437,6651400
2023-03-17,10.300000,10.700000,9.860000,10.300000,10.280437,6159600
2023-03-20,10.000000,10.660000,9.860000,9.960000,9.941082,4070200
2023-03-21,10.200000,10.680000,10.020000,10.080000,10.060854,7616000
2023-03-22,10.260000,10.440000,10.060000,10.180000,10.160665,2460000
2023-03-23,10.000000,10.340000,10.000000,10.200000,10.180626,1073600
2023-03-24,10.280000,10.300000,9.990000,10.100000,10.080817,1572000
2023-03-27,10.100000,10.100000,9.500000,9.800000,9.781386,2832000
2023-03-28,9.780000,9.980000,9.420000,9.700000,9.681576,2553800
2023-03-29,9.560000,9.900000,9.500000,9.860000,9.841272,2037200
2023-03-30,9.860000,9.960000,9.630000,9.700000,9.681576,788000
2023-03-31,9.510000,9.820000,9.310000,9.310000,9.292317,1470000
2023-04-03,9.420000,9.420000,9.010000,9.150000,9.132621,1990000
2023-04-04,9.060000,9.450000,9.060000,9.330000,9.312280,953000
2023-04-06,9.330000,9.410000,9.230000,9.360000,9.342221,1052000
2023-04-11,9.380000,9.600000,9.180000,9.310000,9.292317,1190600
2023-04-12,9.290000,9.640000,9.290000,9.600000,9.581766,1490800
2023-04-13,9.600000,10.400000,9.580000,10.100000,10.080817,6711000
2023-04-14,10.200000,10.400000,10.020000,10.080000,10.060854,2316000
2023-04-17,10.000000,10.340000,9.770000,10.240000,10.220551,1693000
2023-04-18,10.240000,10.500000,10.100000,10.360000,10.340322,1968000
2023-04-19,10.300000,10.380000,10.100000,10.100000,10.080817,1346000
2023-04-20,10.040000,10.240000,9.880000,9.900000,9.881196,1671200
2023-04-21,9.910000,10.660000,9.810000,10.380000,10.360284,6580200
2023-04-24,10.480000,11.140000,10.300000,11.140000,11.118841,6834800
2023-04-25,11.140000,11.500000,10.520000,10.580000,10.559905,4572600
2023-04-26,10.580000,11.440000,10.100000,11.240000,11.218651,4466400
2023-04-27,11.220000,11.980000,10.900000,11.960000,11.937284,8727200
2023-04-28,11.800000,11.840000,11.200000,11.320000,11.298498,6023600
2023-05-02,11.320000,11.480000,11.100000,11.400000,11.378347,502600
2023-05-03,11.140000,11.220000,11.000000,11.000000,10.979107,386000
2023-05-04,11.200000,11.560000,10.520000,11.000000,10.979107,5318200
2023-05-05,10.880000,11.060000,10.200000,10.400000,10.380246,3724000
2023-05-08,10.460000,11.800000,10.460000,11.640000,11.617892,9266800
2023-05-09,11.700000,12.200000,11.160000,11.380000,11.358385,6008600
2023-05-10,11.460000,11.540000,11.000000,11.060000,11.038994,1910000
2023-05-11,11.240000,11.260000,10.660000,11.160000,11.138803,1902000
2023-05-12,11.100000,11.140000,10.700000,10.980000,10.959145,1878000
2023-05-15,10.960000,11.840000,10.800000,11.500000,11.478158,3766900
2023-05-16,11.680000,11.780000,11.300000,11.400000,11.378347,2648600
2023-05-17,11.400000,12.440000,11.320000,12.120000,12.096979,16405530
2023-05-18,12.120000,12.460000,11.840000,12.400000,12.376448,7148400
2023-05-19,12.160000,12.360000,11.900000,12.200000,12.176827,2749300
2023-05-22,12.180000,12.580000,12.000000,12.200000,12.176827,3590600
2023-05-23,12.200000,12.320000,11.560000,11.860000,11.837474,5256000
2023-05-24,11.720000,11.980000,11.180000,11.540000,11.518081,4202000
2023-05-25,11.200000,11.580000,10.520000,10.800000,10.788836,5229000
2023-05-29,10.980000,11.400000,10.800000,11.200000,11.200000,3010000
2023-05-30,11.200000,11.400000,10.820000,11.100000,11.100000,1118100
2023-05-31,10.800000,11.400000,10.680000,10.900000,10.900000,1779200
2023-06-01,10.740000,11.040000,10.400000,10.860000,10.860000,4255874
2023-06-02,10.860000,11.080000,10.640000,10.780000,10.780000,2184000
2023-06-05,10.780000,10.980000,10.700000,10.720000,10.720000,1284000
2023-06-06,10.720000,10.860000,10.100000,10.160000,10.160000,2630000
2023-06-07,10.220000,10.260000,9.660000,9.960000,9.960000,5055000
2023-06-08,9.960000,10.180000,9.950000,10.080000,10.080000,1644000
2023-06-09,10.080000,10.620000,9.850000,10.560000,10.560000,3168800
2023-06-12,10.480000,10.760000,10.420000,10.680000,10.680000,1730000
2023-06-13,10.740000,11.220000,10.580000,11.220000,11.220000,2104600
2023-06-14,11.060000,11.440000,11.060000,11.380000,11.380000,1823000
2023-06-15,11.260000,11.480000,11.060000,11.160000,11.160000,1460000
2023-06-16,11.280000,11.920000,11.020000,11.400000,11.400000,4129600
2023-06-19,11.420000,11.960000,11.420000,11.820000,11.820000,3004000
2023-06-20,11.580000,12.480000,11.580000,11.620000,11.620000,7784400
2023-06-21,11.600000,11.940000,11.100000,11.140000,11.140000,3776000
2023-06-23,11.160000,11.160000,10.700000,10.700000,10.700000,653800
2023-06-26,10.980000,11.220000,10.720000,11.060000,11.060000,1654000
2023-06-27,11.300000,11.860000,11.100000,11.380000,11.380000,2682000
2023-06-28,11.420000,11.500000,11.240000,11.240000,11.240000,1580364
